动物,,,,,,,,,
原生动物,眼虫、草履虫,,,,,,,,
多孔动物,海绵,,,,,,,,
二胚层动物,,,,,,,,,
,腔肠动物,,,,,,,,
,,水母,,,,,,,
,,水螅,,,,,,,
,,海葵,,,,,,,
,,珊瑚,,,,,,,
三胚层动物,,,,,,,,,
,原口动物,,,,,,,,
,,扁虫动物,,,,,,,
,,,扁形动物,,,,,,
,,,,涡虫 笄蛭涡虫（jī zhì）,,,,,
,,,,吸虫、绦虫等寄生虫,,,,,
,,,"腹毛动物门,颚胃动物门,微颚动物门,轮形动物门,环口动物门,棘头动物门",,,,,,
,,蜕皮动物,,,,,,,
,,,"线虫动物门,线形动物门",,,,,,
,,,,很多寄生虫,,,,,
,,,缓步动物门,水熊虫,,,,,
,,,节肢动物门,,,,,,
,,,,昆虫,,,,,
,,,,,蚂蚁,,,,
,,,,,蝴蝶,,,,
,,,,,。。。,,,,
,,,,螃蟹，虾,,,,,
,,,,蜘蛛,,,,,
,,,,蜈蚣,,,,,
,,,,藤壶,,,,,
,,,,。。。,,,,,
,,冠轮动物,,,,,,,
,,,环节动物门,,,,,,
,,,,蚯蚓，蚂蟥,,,,,
,,,苔藓动物门,,,,,,
,,,腕足动物门,酸酱贝和海豆芽,,,,,
,,,软体动物,,,,,,
,,,,"螺类,鲍鱼，蜗牛，鼻涕虫",,,,,
,,,,贝类,,,,,
,,,,乌贼，章鱼,,,,,
,,,,箭石 菊石,,,,,
,,,,鹦鹉螺,,,,,
,外肛动物门、腕足动物门和帚形动物门动物介于原口动物和后口动物之间，研究它们的分类、形态功能和演化有助于阐明无脊椎动物类群的系统发生。,,,,,,,,
,后口动物,,,,,,,,
,,棘皮动物,（五辐对称）,,,,,,
,,,海星,,,,,,
,,,海参,,,,,,
,,,海胆,,,,,,
,,脊索动物,,,,,,,
,,,尾索动物,,,,,,
,,,,海鞘,,,,,
,,,半索动物,,,,,,
,,,,柱头虫 笔石,,,,,
,,,头索动物,,,,,,
,,,,文昌鱼,,,,,
,,,脊椎动物,,,,,,
,,,,软骨鱼纲,,,,,
,,,,,鲨鱼,,,,
,,,,,鳐鱼,,,,
,,,,,。。。,,,,
,,,,硬骨鱼纲,鲫鱼,,,,
,,,,,。。。,,,,
,,,,,肺鱼,,,,
,,,,两栖纲,,,,,
,,,,,蛙,,,,
,,,,,娃娃鱼,,,,
,,,,,。。。,,,,
,,,,爬行纲,,,,,
,,,,,蛇,,,,
,,,,,鳄鱼,,,,
,,,,,蜥蜴,,,,
,,,,,。。。,,,,
,,,,鸟纲,,,,,
,,,,,鸟,,,,
,,,,,。。。,,,,
,,,,哺乳纲,,,,,
,,,,,原兽亚纲,,,,
,,,,,,鸭嘴兽,,,
,,,,,后兽亚纲,,,,
,,,,,,袋鼠,,,
,,,,,,树袋熊,,,
,,,,,,。。。,,,
,,,,,真兽亚纲,,,,
,,,,,,非洲兽总目,长鼻目,,
,,,,,,,,象,
,,,,,,,海牛目,,
,,,,,,,,海牛，儒艮,
,,,,,,劳亚兽总目,,,
,,,,,,,猬形目,刺猬及毛猬。,
,,,,,,,鼩鼱目,鼹、鼩鼱、沟齿鼩等。,
,,,,,,,鲸偶蹄目,,
,,,,,,,,胼足亚目,
,,,,,,,,,骆驼，羊驼
,,,,,,,,猪形亚目,
,,,,,,,,,猪
,,,,,,,,反刍亚目,
,,,,,,,,,牛，羊，羚羊
,,,,,,,,,鹿
,,,,,,,,鲸亚目,
,,,,,,,,,鲸，海豚，河马
,,,,,,,鳞甲目,,
,,,,,,,,穿山甲,
,,,,,,,翼手目,,
,,,,,,,,蝙蝠,
,,,,,,,食肉目,,
,,,,,,,,犬型类,
,,,,,,,,,熊，狼，狗
,,,,,,,,猫型类,
,,,,,,,,,猫，虎，豹
,,,,,,,,鳍脚类,
,,,,,,,,,海豹，海狮，海象
,,,,,,,奇蹄目,,
,,,,,,,,马，斑马,
,,,,,,,,貘，犀牛,
,,,,,,灵长总目,,,
,,,,,,,啮齿目,,
,,,,,,,,老鼠，仓鼠,
,,,,,,,兔形目,,
,,,,,,,,兔子,
,,,,,,,灵长目,,
,,,,,,,,猴,
,,,,,,,,猿,
,,,,,,,,猩猩,
,,,,,,,,人,
